DAT_YER	dst_num	dst_tye	DISTRICTNAME	sch_num	schoolname	gr_kg	gr_01	gr_02	gr_03	gr_04	gr_05	gr_06	gr_07	gr_08	gr_09	gr_10	gr_11	gr_12	tot_01_06	tot_07_12	tot_kg_12	free_meal_elg	red_meal_elg	free_red_meals	lep_srv	county	county_name	eco_dev
23-24	200	31	Hastings Public School District	6	Pine Harbor Christian Academy	19	22	19	21	19	17	14	10	8	0	0	0	0	112	18	149	0	10	10	0	82	Washington                                   	11
23-24	203	31	Hayfield Public School District	10	Haven School	1	1	0	1	2	2	0	0	0	3	0	0	1	6	4	11	0	11	11	0	50	Mower                                        	10
23-24	206	31	Alexandria Public School District	82	St. Mary's	41	40	41	40	42	31	33	0	0	0	0	0	0	227	0	268	0	22	22	0	21	Douglas                                      	04
23-24	206	31	Alexandria Public School District	84	Zion Lutheran	25	20	17	19	22	6	13	21	18	0	0	0	0	97	39	161	0	28	28	0	21	Douglas                                      	04
23-24	206	31	Alexandria Public School District	86	Alexandria Community Christian School	6	5	8	3	11	2	7	9	3	8	3	0	3	36	26	68	0	30	30	0	21	Douglas                                      	04
23-24	206	31	Alexandria Public School District	87	Sacred Journey Academy	6	4	6	10	4	5	6	3	4	0	0	0	0	35	7	48	0	0	0	0	21	Douglas                                      	04
23-24	241	31	Albert Lea Public School District	2	Hollandale Christian	15	15	8	11	11	12	10	6	4	2	0	0	0	67	12	94	0	14	14	0	24	Freeborn                                     	10
23-24	241	31	Albert Lea Public School District	3	St. Theodore Elementary	17	14	12	13	7	15	0	0	0	0	0	0	0	61	0	78	0	15	15	0	24	Freeborn                                     	10
23-24	252	31	Cannon Falls Public School District	10	St. Paul's Lutheran	2	2	6	2	2	1	1	0	1	0	0	0	0	14	1	17	0	1	1	0	25	Goodhue                                      	10
23-24	253	31	Goodhue Public School District	10	St. John's Lutheran	5	4	4	4	3	6	7	4	2	0	0	0	0	28	6	39	0	0	0	0	25	Goodhue                                      	10
23-24	256	31	Red Wing Public School District	22	St. John's Lutheran	2	4	5	4	6	3	8	3	3	0	0	0	0	30	6	38	0	6	6	2	25	Goodhue                                      	10
23-24	270	31	Hopkins Public School District	1	Blake Lower School-Hopkins Campus	63	60	62	72	71	88	0	0	0	0	0	0	0	353	0	416	0	0	0	0	27	Hennepin                                     	11
23-24	270	31	Hopkins Public School District	2	Blake Middle School	0	0	0	0	0	0	109	115	120	0	0	0	0	109	235	344	0	0	0	0	27	Hennepin                                     	11
23-24	270	31	Hopkins Public School District	3	Breck	69	63	74	82	70	90	91	84	96	121	120	110	98	470	629	1,168	0	13	13	0	27	Hennepin                                     	11
23-24	270	31	Hopkins Public School District	4	Good Shepherd School	42	41	41	51	40	37	36	0	0	0	0	0	0	246	0	288	0	6	6	0	27	Hennepin                                     	11
23-24	270	31	Hopkins Public School District	8	Minnetonka Christian Academy	15	12	15	13	10	12	8	6	8	7	6	2	0	70	29	114	0	41	41	24	27	Hennepin                                     	11
23-24	270	31	Hopkins Public School District	23	International School of Minnesota	13	11	14	7	9	10	9	8	12	16	15	12	18	60	81	154	0	0	0	6	27	Hennepin                                     	11
23-24	270	31	Hopkins Public School District	720	Arete Academy	0	0	0	0	0	0	3	1	1	4	2	4	2	3	14	17	0	0	0	0	27	Hennepin                                     	11
23-24	270	31	Hopkins Public School District	815	Notre Dame Academy	21	25	23	23	24	30	18	19	11	0	0	0	0	143	30	194	0	29	29	0	27	Hennepin                                     	11
23-24	270	31	Hopkins Public School District	816	Franklin Academy	1	7	3	4	3	9	6	6	12	10	14	6	7	32	55	88	0	0	0	0	27	Hennepin                                     	11
