DISTRICTNAME,schoolname,gr_kg,gr_01,gr_02,gr_03,gr_04,gr_05,gr_06,tot_01_06,tot_07_12,tot_kg_12,free_meal_elg,red_meal_elg,free_red_meals,lep_srv
Edgerton Public School District,Southwest Minnesota Christian Elementary School,30.0,27.0,30.0,43.0,20.0,26.0,27.0,173.0,62.0,265.0,0.0,55.0,55.0,0.0
Edgerton Public School District,Free Christian School,2.0,2.0,1.0,1.0,2.0,2.0,2.0,10.0,2.0,14.0,0.0,0.0,0.0,0.0
Edgerton Public School District,Southwest Minnesota Christian High School,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,134.0,0.0,25.0,25.0,0.0
Crookston Public School District,Cathedral,7.0,15.0,11.0,11.0,11.0,3.0,0.0,51.0,0.0,58.0,0.0,11.0,11.0,0.0
Crookston Public School District,Our Savior's Lutheran,11.0,5.0,7.0,6.0,5.0,5.0,3.0,31.0,0.0,42.0,0.0,12.0,12.0,0.0
East Grand Forks Public Schools,Sacred Heart School,34.0,41.0,38.0,34.0,32.0,37.0,47.0,229.0,210.0,473.0,0.0,29.0,29.0,0.0
East Grand Forks Public Schools,Riverside Christian,18.0,21.0,26.0,19.0,26.0,20.0,17.0,129.0,55.0,202.0,0.0,15.0,15.0,0.0
Mounds View Public School District,St. John the Baptist,51.0,38.0,42.0,45.0,48.0,43.0,50.0,266.0,87.0,404.0,0.0,9.0,9.0,0.0
Mounds View Public School District,St. Odilia,66.0,68.0,65.0,66.0,69.0,70.0,63.0,401.0,126.0,593.0,0.0,17.0,17.0,4.0
Mounds View Public School District,GraceWay Chinese-English Christian Academy,0.0,1.0,2.0,3.0,1.0,0.0,0.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0
Mounds View Public School District,Harbon Montessori,1.0,1.0,3.0,1.0,2.0,1.0,0.0,8.0,0.0,9.0,0.0,0.0,0.0,0.0
North St. Paul-Maplewood Oakdale Public School District,Capital City Adventist Christian School,4.0,3.0,5.0,2.0,1.0,3.0,2.0,16.0,9.0,29.0,0.0,0.0,0.0,0.0
North St. Paul-Maplewood Oakdale Public School District,Christ Lutheran,8.0,9.0,11.0,10.0,11.0,9.0,18.0,68.0,19.0,95.0,0.0,17.0,17.0,0.0
North St. Paul-Maplewood Oakdale Public School District,Mounds Park Academy,32.0,30.0,33.0,25.0,33.0,39.0,33.0,193.0,328.0,553.0,0.0,25.0,25.0,12.0
North St. Paul-Maplewood Oakdale Public School District,Hill-Murray,0.0,0.0,0.0,0.0,0.0,0.0,80.0,80.0,947.0,1027.0,0.0,62.0,62.0,3.0
North St. Paul-Maplewood Oakdale Public School District,Presentation of Mary School,18.0,10.0,19.0,23.0,21.0,15.0,18.0,106.0,17.0,141.0,0.0,34.0,34.0,25.0
North St. Paul-Maplewood Oakdale Public School District,Paidea Child Development Center,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
North St. Paul-Maplewood Oakdale Public School District,Transfiguration,16.0,13.0,17.0,12.0,21.0,18.0,11.0,92.0,9.0,117.0,0.0,24.0,24.0,5.0
North St. Paul-Maplewood Oakdale Public School District,St. Peter,24.0,25.0,27.0,21.0,21.0,18.0,16.0,128.0,38.0,190.0,0.0,48.0,48.0,0.0
North St. Paul-Maplewood Oakdale Public School District,Apostolic Christian Academy,1.0,1.0,2.0,0.0,2.0,0.0,2.0,7.0,5.0,13.0,0.0,0.0,0.0,0.0
Roseville Public School District,Concordia Academy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,332.0,332.0,0.0,17.0,17.0,0.0
Roseville Public School District,King of Kings Lutheran,16.0,11.0,17.0,16.0,11.0,17.0,15.0,87.0,27.0,130.0,0.0,50.0,50.0,1.0
Roseville Public School District,Saint John School of Little Canada,30.0,34.0,23.0,37.0,24.0,23.0,11.0,152.0,35.0,217.0,0.0,61.0,61.0,0.0
Roseville Public School District,St. Rose of Lima,12.0,16.0,14.0,18.0,19.0,17.0,21.0,105.0,28.0,145.0,0.0,7.0,7.0,0.0
Roseville Public School District,North Heights Christian Academy,34.0,39.0,43.0,34.0,42.0,28.0,40.0,226.0,75.0,335.0,0.0,0.0,0.0,0.0
Roseville Public School District,Minnesota Waldorf,21.0,12.0,10.0,20.0,9.0,12.0,10.0,73.0,22.0,116.0,0.0,0.0,0.0,0.0
Roseville Public School District,St. Jerome,18.0,24.0,18.0,19.0,22.0,19.0,18.0,120.0,33.0,171.0,0.0,123.0,123.0,142.0
Roseville Public School District,Hand in Hand Christian Montessori Central Campus,29.0,8.0,6.0,7.0,5.0,14.0,8.0,48.0,59.0,136.0,0.0,23.0,23.0,0.0
White Bear Lake School District,Frassati Catholic Academy,28.0,19.0,44.0,22.0,29.0,24.0,27.0,165.0,28.0,221.0,0.0,6.0,6.0,0.0
White Bear Lake School District,St. Anne's Academy,0.0,9.0,9.0,5.0,7.0,8.0,3.0,41.0,22.0,63.0,0.0,0.0,0.0,0.0
White Bear Lake School District,White Bear Montessori School,9.0,7.0,4.0,7.0,2.0,1.0,1.0,22.0,0.0,31.0,0.0,0.0,0.0,0.0
